service,patients_admitted,difference_in_adm,rank_indicator
general_medicine,74,45.87,"Above Average"
general_medicine,69,40.87,"Above Average"
general_medicine,67,38.87,"Above Average"
general_medicine,65,36.87,"Above Average"
general_medicine,63,34.87,"Above Average"
general_medicine,63,34.87,"Above Average"
general_medicine,62,33.87,"Above Average"
surgery,59,30.87,"Above Average"
general_medicine,58,29.87,"Above Average"
general_medicine,57,28.87,"Above Average"
general_medicine,57,28.87,"Above Average"
surgery,56,27.87,"Above Average"
general_medicine,55,26.87,"Above Average"
general_medicine,54,25.87,"Above Average"
general_medicine,53,24.87,"Above Average"
general_medicine,51,22.87,"Above Average"
general_medicine,50,21.87,"Above Average"
surgery,48,19.87,"Above Average"
general_medicine,48,19.87,"Above Average"
general_medicine,48,19.87,"Above Average"
general_medicine,48,19.87,"Above Average"
surgery,48,19.87,"Above Average"
general_medicine,48,19.87,"Above Average"
surgery,48,19.87,"Above Average"
general_medicine,47,18.87,"Above Average"
general_medicine,47,18.87,"Above Average"
surgery,47,18.87,"Above Average"
surgery,47,18.87,"Above Average"
general_medicine,47,18.87,"Above Average"
surgery,45,16.87,"Above Average"
general_medicine,45,16.87,"Above Average"
general_medicine,45,16.87,"Above Average"
surgery,45,16.87,"Above Average"
general_medicine,43,14.87,"Above Average"
general_medicine,43,14.87,"Above Average"
general_medicine,43,14.87,"Above Average"
general_medicine,43,14.87,"Above Average"
surgery,42,13.87,"Above Average"
general_medicine,42,13.87,"Above Average"
surgery,41,12.87,"Above Average"
general_medicine,40,11.87,"Above Average"
general_medicine,40,11.87,"Above Average"
general_medicine,40,11.87,"Above Average"
general_medicine,40,11.87,"Above Average"
general_medicine,39,10.87,"Above Average"
surgery,39,10.87,"Above Average"
surgery,39,10.87,"Above Average"
general_medicine,38,9.87,"Above Average"
surgery,38,9.87,"Above Average"
general_medicine,38,9.87,"Above Average"
general_medicine,37,8.87,"Above Average"
general_medicine,37,8.87,"Above Average"
surgery,37,8.87,"Above Average"
surgery,36,7.87,"Above Average"
general_medicine,36,7.87,"Above Average"
general_medicine,36,7.87,"Above Average"
general_medicine,36,7.87,"Above Average"
surgery,36,7.87,"Above Average"
surgery,36,7.87,"Above Average"
emergency,36,7.87,"Above Average"
general_medicine,35,6.87,"Above Average"
general_medicine,35,6.87,"Above Average"
emergency,34,5.87,"Above Average"
general_medicine,34,5.87,"Above Average"
emergency,33,4.87,"Above Average"
general_medicine,33,4.87,"Above Average"
general_medicine,33,4.87,"Above Average"
surgery,33,4.87,"Above Average"
general_medicine,33,4.87,"Above Average"
surgery,33,4.87,"Above Average"
emergency,32,3.87,"Above Average"
emergency,32,3.87,"Above Average"
emergency,32,3.87,"Above Average"
emergency,32,3.87,"Above Average"
surgery,32,3.87,"Above Average"
surgery,32,3.87,"Above Average"
surgery,31,2.87,"Above Average"
surgery,31,2.87,"Above Average"
surgery,31,2.87,"Above Average"
surgery,31,2.87,"Above Average"
surgery,31,2.87,"Above Average"
emergency,31,2.87,"Above Average"
surgery,30,1.87,"Above Average"
surgery,30,1.87,"Above Average"
general_medicine,30,1.87,"Above Average"
surgery,30,1.87,"Above Average"
general_medicine,29,0.87,"Above Average"
emergency,28,-0.13,"Below Average"
emergency,28,-0.13,"Below Average"
emergency,28,-0.13,"Below Average"
surgery,28,-0.13,"Below Average"
surgery,28,-0.13,"Below Average"
emergency,28,-0.13,"Below Average"
emergency,28,-0.13,"Below Average"
surgery,28,-0.13,"Below Average"
surgery,27,-1.13,"Below Average"
surgery,27,-1.13,"Below Average"
general_medicine,27,-1.13,"Below Average"
emergency,27,-1.13,"Below Average"
emergency,27,-1.13,"Below Average"
surgery,26,-2.13,"Below Average"
surgery,26,-2.13,"Below Average"
emergency,26,-2.13,"Below Average"
surgery,26,-2.13,"Below Average"
general_medicine,26,-2.13,"Below Average"
surgery,26,-2.13,"Below Average"
emergency,26,-2.13,"Below Average"
surgery,26,-2.13,"Below Average"
emergency,26,-2.13,"Below Average"
emergency,25,-3.13,"Below Average"
general_medicine,25,-3.13,"Below Average"
surgery,25,-3.13,"Below Average"
surgery,24,-4.13,"Below Average"
surgery,24,-4.13,"Below Average"
emergency,24,-4.13,"Below Average"
emergency,24,-4.13,"Below Average"
emergency,23,-5.13,"Below Average"
emergency,23,-5.13,"Below Average"
surgery,23,-5.13,"Below Average"
emergency,23,-5.13,"Below Average"
ICU,23,-5.13,"Below Average"
ICU,22,-6.13,"Below Average"
surgery,22,-6.13,"Below Average"
emergency,22,-6.13,"Below Average"
surgery,22,-6.13,"Below Average"
surgery,22,-6.13,"Below Average"
emergency,22,-6.13,"Below Average"
emergency,22,-6.13,"Below Average"
ICU,22,-6.13,"Below Average"
ICU,21,-7.13,"Below Average"
emergency,21,-7.13,"Below Average"
emergency,21,-7.13,"Below Average"
surgery,21,-7.13,"Below Average"
emergency,21,-7.13,"Below Average"
emergency,21,-7.13,"Below Average"
ICU,20,-8.13,"Below Average"
ICU,20,-8.13,"Below Average"
surgery,20,-8.13,"Below Average"
emergency,20,-8.13,"Below Average"
surgery,20,-8.13,"Below Average"
emergency,20,-8.13,"Below Average"
emergency,20,-8.13,"Below Average"
ICU,20,-8.13,"Below Average"
emergency,20,-8.13,"Below Average"
emergency,18,-10.13,"Below Average"
emergency,18,-10.13,"Below Average"
surgery,18,-10.13,"Below Average"
emergency,18,-10.13,"Below Average"
emergency,18,-10.13,"Below Average"
ICU,18,-10.13,"Below Average"
emergency,18,-10.13,"Below Average"
ICU,18,-10.13,"Below Average"
emergency,17,-11.13,"Below Average"
emergency,17,-11.13,"Below Average"
emergency,16,-12.13,"Below Average"
emergency,16,-12.13,"Below Average"
emergency,16,-12.13,"Below Average"
emergency,16,-12.13,"Below Average"
emergency,16,-12.13,"Below Average"
ICU,16,-12.13,"Below Average"
ICU,16,-12.13,"Below Average"
